taxon,source_defined_target,resolution_status,effective_pollinator_or_dependency_class,evidence_scope,primary_source,source_native_reproductive_response_class,source_native_breadth_available,direct_dependency_moderation_eligible,current_role,claim_boundary
Ampelopsis glandulosa var. hancei,yes,resolved_external_species_level,short_tongued_scoliid_and_solitary_bee_functional_specialization,"western Japan; source identifies A. glandulosa at species level rather than the Izu var. hancei population",10.1016/j.flora.2021.151921,unresolved,yes,no,non_bombus_functional_specialist_context,"Effective pollinators were measured directly in A. glandulosa and the source concludes functional specialization on short-tongued scoliid wasps/solitary bees; transfer to var. hancei and Izu populations remains an external species-level inference."
Calystegia soldanella,yes,resolved_external_species_level,pollinator_dependent_broad_bee_system,"multiple Japanese mainland/coastal populations; not the Izu 2024 populations",10.2307/2656764,long_tongued_pollinator_sensitive,yes,no,reproductive_sensitivity_context,"The source shows self-incompatibility, reduced open relative to outcross reproduction, and several bee taxa as primary pollinators. This resolves broad pollinator dependence but not an exclusive long-tongued or Bombus dependency."
Farfugium japonicum,yes,unresolved,effective_dependency_unresolved,"2024 Izu network gives realized interactions but no independent effectiveness-defined dependency class",2024 Figshare 10.6084/m9.figshare.25025000.v1,unresolved,yes,no,high_interaction_breadth_control,"High realized interaction breadth is source-native, but effectiveness-defined pollinator dependency remains unresolved."
Glehnia littoralis,yes,unresolved,effective_dependency_unresolved,"2024 Izu network only for current admission",2024 Figshare 10.6084/m9.figshare.25025000.v1,unresolved,yes,no,network_target,"Do not transfer non-Izu pollination descriptions into an Izu effective-dependency class without a directly comparable Japanese effectiveness source."
Lonicera japonica,yes,resolved_external_species_level,mixed_effective_diurnal_bee_and_nocturnal_hawkmoth_system,"Japan species-level pollination-efficiency experiment; not the exact Izu 2024 populations",10.1139/b98-119,unresolved,yes,no,mixed_guild_effectiveness_context,"Diurnal Tetralonia/Lasioglossum bees and nocturnal Theretra hawkmoths all transfer pollen; the source measures efficiency and shows a mixed effective guild rather than Bombus dependence."
Lysimachia mauritiana,yes,partial,response_to_long_tongued_pollinator_gradient_without_exclusive_dependency,"2017 mainland/island network and fruit-set response; effective dependency breadth unresolved",10.1098/rspb.2016.2218,counterdirectional_reproductive_response,yes,no,heterogeneity_falsification,"The source resolves a reproductive response to the long-tongued-pollinator gradient, but does not establish an exclusive effective-pollinator dependency class."
Melanthera prostrata,yes,partial,source_observed_pollinator_interactions_without_effectiveness_dependency,"2017 source records functional pollinator interactions; independent effectiveness/dependency experiment not recovered",10.1098/rspb.2016.2218,unresolved,yes,no,network_target,"Interaction identity alone is insufficient to assign an effectiveness-defined dependency class."
Oxalis corniculata var. trichocaulon,yes,partial,population_variable_autonomous_selfing_vs_outcrossing_system,"Japanese O. corniculata populations; exact mapping of the Izu var. trichocaulon target to floral morph/breeding state unresolved","10.1111/j.1442-1984.1995.tb00126.x; 10.1111/1442-1984.12387",unresolved,yes,no,population_variable_breeding_context,"Japanese populations range from autogamous homostyled to predominantly outcrossing/low-autonomous-selfing morphs. The Izu target cannot receive a single dependency class until its population-level floral morph/breeding state is matched."
Persicaria senticosa,yes,unresolved,effective_dependency_unresolved,"2024 Izu network only for current admission",2024 Figshare 10.6084/m9.figshare.25025000.v1,unresolved,yes,no,network_target,"No direct effectiveness-defined dependency source has yet been recovered for the target context."
Vitex rotundifolia,yes,resolved_external_species_level,multi_hymenopteran_pollination_megachile_kobensis_dominant,"Sanin coastal Japan; species-level pollination study, not the exact Izu 2024 populations","Maeta et al. 2004, Bulletin of the Hoshizaki Green Foundation 7:275-303; Shimane repository 55148",reproductive_function_resilient_to_RBLP,yes,no,multi_pollinator_effectiveness_context,"The source documents multiple promising hymenopteran pollinators and a particularly well-matched dominant Megachile kobensis interaction. This excludes strict Bombus dependence but does not make the exact Izu population effectiveness composition identical."
