island,season,n_long_rows,n_plants,n_pollinators,n_positive_links,total_visitation_rate,binary_connectance,interaction_shannon,interaction_evenness,effective_number_interactions,mean_pollinator_richness_per_plant,median_pollinator_richness_per_plant,mean_effective_pollinator_number_per_plant,mean_plant_niche_overlap_morisita_horn,mean_pollinator_niche_overlap_morisita_horn
A_Chichijima,A_MAY,409,21,33,70,966.0,0.10101010101010101,2.995319431003084,0.7050306662361291,19.991744853137057,3.3333333333333335,2,2.0130769827678736,0.4864637791485151,0.1771482155970948
A_Chichijima,B_JULY,197,14,12,30,430.0,0.17857142857142858,2.2076066001914856,0.6490674760876813,9.093924927418007,2.142857142857143,1.0,1.6088052306295484,0.5517495617649344,0.18857507401217727
A_Chichijima,C_SEP,185,7,9,18,628.0,0.2857142857142857,1.8506959008565957,0.6402968392563021,6.364246866773033,2.5714285714285716,2,1.5575608884561107,0.7953483212917954,0.3804869668068911
B_Hahajima,A_MAY,400,16,45,79,566.0,0.10972222222222222,3.329624556450752,0.7620240975231738,27.92785440188535,4.9375,4.0,2.8319644543083085,0.12220889394654978,0.11527239349840117
B_Hahajima,B_JULY,293,18,26,65,558.0,0.1388888888888889,3.4559757427619497,0.8279001250519701,31.68919410373092,3.611111111111111,2.5,2.5252438886606745,0.14513638378910146,0.1418191613226356
B_Hahajima,C_SEP,68,11,15,28,111.0,0.1696969696969697,2.7684974728631904,0.8308306001055217,15.934673734117807,2.5454545454545454,2,1.800312504902376,0.0989007799756212,0.19568751255315764
C_Anijima,A_MAY,318,8,33,64,621.0,0.24242424242424243,3.199613055187228,0.7693443145803666,24.523039298150884,8.0,7.5,4.04225679476298,0.3924294838129931,0.2754369136545157
C_Anijima,B_JULY,219,5,20,28,358.0,0.28,2.5011272260307855,0.7505923536185596,12.196234127697918,5.6,3,3.7332460783306813,0.12386348813227559,0.39372470086988215
C_Anijima,C_SEP,187,9,26,45,323.0,0.19230769230769232,3.1179039873026295,0.8190649934638027,22.598962254977476,5.0,3,3.4049424229072383,0.13909746849390328,0.2172933198001701
D_Ototojima,A_MAY,171,8,26,46,316.0,0.22115384615384615,3.2005972853870746,0.8359616255317243,24.54718749576345,5.75,5.0,3.3227533663026594,0.18638602919599487,0.3103863316944462
D_Ototojima,B_JULY,168,8,34,49,581.0,0.1801470588235294,2.9759201212620336,0.7646602086706733,19.607656373521273,6.125,6.0,3.5193708570445157,0.05606581623294371,0.17743952073375738
D_Ototojima,C_SEP,105,5,9,13,245.0,0.28888888888888886,1.649966853012376,0.6432746316072707,5.20680723434444,2.6,3,1.8571287988899734,0.08619928725422525,0.21805611339146405
