extension_id,geographic_system,geographic_overlap_group,source_year,source_reference,source_verification,evidence_scale,community_reorganization_evidence,arrival_evidence_class,partner_arrival_replacement_evidence,plant_response_evidence,extension_role,novel_geographic_group_relative_to_frozen25,full_chapter2_contract
azores_flores_olesen_2002,Azores - Flores,azores,2002,10.1046/j.1472-4642.2002.00148.x,primary_article_verified,whole pollination network,"Direct mapping of endemic, non-endemic native and introduced plant-pollinator interactions; invader integration tested",introduced_presence_no_matched_transition,"Introduced status direct; matched arrival timing unavailable","Network structure and interaction frequencies direct","global confrontation: invasion/network integration",true,fail
azores_terceira_disturbance_2025,Azores - Terceira,azores,2025,10.3390/insects16010014,primary_article_verified,preserved-vs-disturbed forest networks,"Direct compositional and network differences across disturbance; introduced Apis mellifera and Bombus terrestris are important in disturbed sites",introduced_presence_no_matched_transition,"Introduced partner presence direct; temporal arrival not matched","Flower abundance, visitor composition and network metrics direct","global confrontation: disturbance-associated community replacement",true,fail
madeira_echium_candicans_2021,Madeira,madeira,2021,10.3390/insects12060488,primary_article_verified,endemic plant visitor assemblage,"Two non-native bees, Apis mellifera and Bombus ruderatus, are important visitors within a mixed visitor community",introduced_presence_no_matched_transition,"Non-native status direct; arrival chronology not matched","Visitation rate, foraging movement and pollen loads direct; self-pollination/inbreeding consequence inferred","mechanistic breadth: partner identity and pollination quality",true,fail
new_caledonia_kato_kawakita_2004,New Caledonia,new_caledonia,2004,10.3732/ajb.91.11.1814,primary_article_verified,99-plant community survey,"Introduced Apis mellifera is the dominant flower visitor in a highly endemic flora",direct_historical_arrival,"Historical source states Apis mellifera was introduced after the 1950s and subsequently became extremely abundant; native-pollinator displacement remains inferred","Plant-pollinator visitation structure direct","identifiability breadth: historical pollinator arrival plus community dominance",true,fail
fiji_braunsapis_invasion_2015,Fiji,fiji,2015,10.1111/1744-7917.12136,primary_article_verified,island-wide introduced-bee distribution,"Recently introduced Braunsapis puangensis documented as spreading widely in Fiji",direct_recent_arrival,"First recorded in Fiji in 2007 plus subsequent distribution and nesting survey","No linked plant reproductive response","identifiability extension: unusually direct partner-arrival evidence",true,fail
french_polynesia_apid_origins_2017,French Polynesia,french_polynesia,2017,10.1111/ens.12230,primary_article_and_repository_record_verified,regional bee-fauna genetics,"Introduced bee fauna reconstructed using historical records and mitochondrial DNA",direct_recent_arrival_phylogeographic,"Apis mellifera purposefully introduced; multiple other bee species supported as human-mediated introductions","No linked plant reproductive response","identifiability extension: unusually direct partner-arrival evidence",true,fail
juan_fernandez_breeding_pollination_2001,Juan Fernandez Islands,juan_fernandez,2001,PMID:11222245,primary_abstract_and_fulltext_record_verified,25 endemic plant species,"Native insect visits were extremely rare; an introduced bee and introduced ant were observed near the human settlement",introduced_presence_no_matched_transition,"Introduced partner presence direct; matched transition timing unavailable","Breeding system, self-compatibility, floral visitors and pollination mode direct","global confrontation: reproductive assurance and sparse-pollinator state",true,fail
st_helena_commidendrum_pollination_2020,St Helena,st_helena,2020,10.3897/BDJ.8.e52057,primary_article_verified,two endemic woody Asteraceae,"Fragmented endemic populations retain contrasting fly- versus moth-dominated pollination modes",none,"No directional arrival/replacement measure","Visitation rates and visitor identity direct; conservation/gene-flow consequences discussed","global confrontation: pollinator-mode divergence under fragmentation",true,fail
reunion_angraecum_bird_pollination_2006,Reunion Island,reunion_mascarene,2006,10.1093/aob/mcl056,primary_article_verified,endemic orchid focal system,"An endemic white-eye is the sole observed pollinator in an angraecoid lineage otherwise associated with moth pollination",none,"No matched contemporary arrival/replacement measure","Pollen removal, pollen deposition and fruit set direct","global confrontation: insular pollinator-mode shift and effectiveness",true,fail
pohnpei_breeding_systems_2021,Pohnpei - Federated States of Micronesia,pohnpei_caroline,2021,10.1093/aobpla/plab038,primary_article_verified,28 indigenous/naturalized plant species,"Pollinator uncertainty is confronted through breeding-system traits rather than a measured community transition",none,"No matched arrival/replacement measure","Hand pollinations, self-compatibility, autonomous selfing, pollen limitation and reproductive-assurance traits direct","global confrontation: reproductive assurance under pollinator uncertainty",true,fail
vanuatu_alocasia_reproduction_2008,Vanuatu,vanuatu,2008,10.1080/00288250809509762,primary_article_and_institutional_record_verified,wild giant-taro reproductive biology,"Sexual reproduction is rare despite fertile flowers; the study directly reports absence of efficient pollinators and proposes that plants may have been transported beyond the range of their most effective pollinators",none,"No matched partner arrival/replacement transition; current effective-pollinator absence is direct","Self-incompatibility tests, flowering/fertility observations and rarity of sexual reproduction direct","global confrontation: pollinator absence plus reproductive constraint",true,fail
samoa_apid_introductions_2014,Samoa,samoa,2014,10.1007/s10530-014-0664-7,primary_article_and_institutional_record_verified,regional apid-bee DNA barcodes and historical records,"The study reconstructs a depauperate Pacific pollinator fauna dominated by human-mediated apid introductions across Samoa, Fiji and Vanuatu",direct_recent_arrival_phylogeographic,"Apis mellifera was recorded as exotic in Samoa by 1924; DNA barcodes support recent anthropogenic origins for sampled apid bees in the southwest Pacific","No linked plant reproductive response","identifiability extension: direct/phylogeographic partner-arrival evidence",true,fail
lower_florida_keys_chamaecrista_2003,Lower Florida Keys,lower_florida_keys,2003,10.3732/ajb.90.8.1180,primary_article_and_pubmed_record_verified,endemic Chamaecrista pollination and reproduction across urban-edge and forest sites,"Urban-edge context altered the composition of buzz-pollinator visitation; aerial mosquito spraying was identified as a plausible additional pollinator filter",none,"No partner arrival/replacement transition; local pollinator filtering and visitation composition are the relevant process axes","Controlled hand pollinations, pollinator visitation, inbreeding depression and seed production direct","mechanistic breadth: anthropogenic local filtering plus plant reproductive response",true,fail
socotra_dracaena_gecko_pollination_2017,Socotra Archipelago,socotra,2017,10.1016/j.jnc.2016.11.005,primary_article_and_institutional_record_verified,11 Dracaena cinnabari populations surveyed at night,"Three endemic gecko species carried Dracaena cinnabari pollen, documenting a non-insect mutualistic interaction in an isolated island flora",none,"No directional partner arrival/replacement measure","Pollen carriage on gecko snouts direct; pollination service and reproductive consequences remain suggested rather than experimentally quantified","global confrontation: non-insect pollinator mutualism and interaction dependence",true,fail
cape_verde_campanula_jacobaea_2012,Cape Verde,cape_verde,2012,10.1016/j.ppees.2012.01.003,primary_article_and_author_repository_verified,Cape Verde Campanula jacobaea pollination biology,"Direct field observations show mainly small solitary Halictidae visitation, while very low visitation in some populations coincides with self-pollination potential",none,"No matched partner arrival/replacement transition","Insect visitation direct; self-pollination supported by greenhouse crossing evidence reported in the primary article","global confrontation: low visitation plus mixed insect/self-pollination",true,fail
lord_howe_howea_pollination_2009,Lord Howe Island,lord_howe,2009,10.1111/j.1365-294X.2009.04306.x,primary_article_and_pubmed_record_verified,two endemic Howea species with field pollination experiments and population genetics,"Pollination mode, recruitment and reproductive isolation were evaluated within endemic island sister species",none,"No directional partner arrival/replacement measure","Pollination mode experimentally assessed; abundance, juvenile recruitment and interspecific gene flow/reproductive isolation quantified","global confrontation: island pollination mode and reproductive isolation",true,fail
rodrigues_hibiscus_liliiflorus_2023,Rodrigues Island,rodrigues,2023,10.1093/jhered/esad021,primary_article_and_pubmed_record_verified,critically endangered endemic Hibiscus wild-nursery-outplant conservation system,"Severe fragmentation leaves two wild individuals; current flowers are reported as visited by gnats, flies and honeybees, while isolated wild individuals rarely set seed and closely planted individuals set seed more often",none,"No matched directional partner arrival/replacement transition; likely historical pollinator loss is discussed but not observed","Parentage analysis directly resolves selfing versus crossing in nursery seed; reproductive isolation/fragmentation and seed-set contrast are source-native","global confrontation: fragmentation plus reproductive realization in a remnant island endemic",true,fail
